rpt_low_energy,rpt_med_energy,regu_energy,rpt_low_cap,rpt_med_cap,regu_cap,seq_num,diag_pos,cycle_index
0.560544708,0.520971786,0.305202768,0.146274357,0.136903408,0.083665933,290,11,1054
0.488322307,0.414784899,0.040727675,0.127239875,0.109533423,0.010583838,290,12,1157
,,0.914598581,,,0.244612105,167,hppc_1,8
0.97896444,0.965637288,0.914000743,0.260103707,0.256519915,0.244487114,167,0,0
0.971561206,0.96338641,0.911839119,0.257906222,0.255897033,0.243921689,167,1,24
0.94937345,0.948153249,0.905678965,0.251726892,0.251803325,0.242474763,167,2,127
0.93680204,0.936556811,0.896685087,0.248275729,0.248679787,0.240279924,167,3,230
0.92628216,0.925727053,0.886602915,0.245425484,0.245812868,0.237820086,167,4,333
0.910852601,0.909477351,0.867643002,0.241242759,0.241447886,0.232937469,167,5,436
0.894194513,0.891461595,0.841885445,0.236722874,0.236581981,0.226026489,167,6,539
0.886349275,0.880874016,0.816654984,0.234756677,0.233971936,0.219617939,167,7,642
0.850722929,0.841668379,0.658792377,0.225250284,0.223814226,0.178009982,167,8,745
0.78189516,0.719207195,0.47943615,0.206699363,0.191289329,0.130231968,167,9,848
0.658986679,0.524630797,0.205093356,0.173432498,0.138599098,0.05642088,167,10,951
,,0.919791519,,,0.246210133,299,hppc_1,8
0.973285403,0.955932341,0.91814051,0.257849288,0.253710594,0.245794783,299,0,0
0.963243022,0.9469426,0.912865927,0.25501638,0.251183829,0.244324847,299,1,24
0.946162298,0.930656869,0.898241346,0.25031314,0.246699345,0.240392139,299,2,127
0.937698304,0.921640201,0.888422202,0.248015444,0.244272583,0.237829805,299,3,230
0.927234965,0.911710421,0.876257632,0.245198278,0.241632124,0.23472355,299,4,333
0.91291243,0.895335883,0.843001278,0.241391323,0.237274073,0.225964666,299,5,436
0.893142517,0.87457392,0.807384129,0.236097235,0.231774473,0.216599874,299,6,539
0.876627162,0.855197253,0.772068709,0.231720703,0.226777911,0.207644715,299,7,642
0.862572711,0.846369056,0.719499135,0.227810797,0.224589156,0.194406141,299,8,745
0.811752502,0.775351251,0.598021814,0.214558319,0.206160326,0.162241018,299,9,848
0.740106105,0.693095226,0.424532501,0.194937911,0.183750018,0.115798707,299,10,951
